time_s, temp_c
0, 62.8
1, 64.7
2, 65.7
3, 66.7
4, 66.2
5, 66.7
6, 67.6
7, 68.1
8, 68.1
9, 69.1
10, 68.6
11, 69.6
12, 69.6
13, 70.1
14, 69.6
15, 70.1
16, 70.6
17, 71.1
18, 71.1
19, 71.5
20, 71.5
21, 71.5
22, 71.5
23, 71.5
24, 72.0
25, 72.5
26, 72.5
27, 73.0
28, 73.5
29, 73.0
30, 72.5
31, 72.5
32, 72.5
33, 73.0
34, 73.5
35, 73.5
36, 73.0
37, 74.5
38, 73.5
39, 73.0
40, 74.0
41, 74.0
42, 74.0
43, 73.0
44, 74.0
45, 74.5
46, 74.5
47, 74.5
48, 74.5
49, 74.5
50, 75.0
51, 74.0
52, 74.5
53, 74.5
54, 73.0
55, 74.5
56, 74.5
57, 74.5
58, 71.1
59, 69.6
